id,title,authority,country,region,topic,document_type,date,year,month,sentiment,sentiment_score,risk_level,risk_score,document_length,confidence_score,status,content,url,language,tags
1,"National Defense Authorization Act for Fiscal Year 2022, Section 1531 (""Digital development infrastructure plan and working group"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2021-12-27,2021,12,positive,0.9042,low,0.0,199,1.0,Enacted,"SEC. 1531. DIGITAL DEVELOPMENT INFRASTRUCTURE PLAN AND WORKING GROUP. (a) Plan Required.--Not later than one year after the date of the enactment of this Act, the Secretary of Defense, acting through the working group established under subsection (d)(1), shall develop a plan for the establishment of a modern information technology infrastructure that supports state of the art tools and modern processes to enable effective and efficient development, testing, fielding, and continuous updating of artificial intelligence-capabilities. (b) Contents of Plan.--The plan developed pursuant to subsection (a) shall include at a minimum the following: (1) A technical plan and guidance for necessary technical investments in the infrastructure described in subsection (a) that address critical technical issues, including issues relating to common interfaces, authentication, applications, platforms, software, hardware, and data infrastructure. (2) A governance structure, together with associated policies and guidance, to support the implementation throughout the Department of such plan. (3) Identification and minimum viable instantiations of prototypical development and platform environments with such infrastructure, including enterprise data sets assembled under subsection (e). (c) Harmonization With Departmental Efforts.--The plan developed pursuant to subsection (a) shall include a description of the aggregated and consolidated financial and personnel requirements necessary to implement e",https://www.congress.gov/bill/117th-congress/senate-bill/1605/text,en,"Strategies: Government study or report, Strategies: Government support, Strategies: Government support: For R&D, Strategies: Convening, Strategies: Governance development, Strategies: New institution, Applications: Government: military and public safety"
2,"National Defense Authorization Act for Fiscal Year 2022, Section 226 (""Review of artificial intelligence applications and establishment of performance metrics"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2021-12-27,2021,12,positive,0.9699,low,0.0,210,1.0,Enacted,"SEC. 226. REVIEW OF ARTIFICIAL INTELLIGENCE APPLICATIONS AND ESTABLISHMENT OF PERFORMANCE METRICS. (a) In General.--Not later than 180 days after the date of the enactment of this Act, the Secretary of Defense shall-- (1) review the potential applications of artificial intelligence and digital technology to the platforms, processes, and operations of the Department of Defense; and (2) establish performance objectives and accompanying metrics for the incorporation of artificial intelligence and digital readiness into such platforms, processes, and operations. (b) Performance Objectives and Accompanying Metrics.-- (1) Skill gaps.--In carrying out subsection (a), the Secretary of Defense shall require each Secretary of a military department and the heads of such other organizations and elements of the Department of Defense as the Secretary of Defense determines appropriate to-- (A) conduct a comprehensive review and assessment of-- (i) skill gaps in the fields of software development, software engineering, data science, and artificial intelligence; (ii) the qualifications of civilian personnel needed for both management and specialist tracks in such fields; and (iii) the qualifications of military personnel (officer and enlisted) needed for both management and specialist tracks in such fields; and (B) establish recruiting, training, and talent management performance objectives and accompanying metrics for achieving and maintaining staffing levels needed to fill identified gaps a",https://www.congress.gov/bill/117th-congress/senate-bill/1605/text,en,"Strategies: Evaluation, Strategies: Government study or report, Strategies: Governance development, Strategies: Performance requirements, Applications: Medicine, life sciences and public health, Applications: Transportation, Applications: Consumer goods, Applications: Sales, retail, and customer relations, Applications: Business services and analytics, Applications: Government: military and public safety"
3,"National Defense Authorization Act for Fiscal Year 2022, Section 227 (""Modification of the joint common foundation program"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2021-12-27,2021,12,positive,0.9911,low,0.1111,202,1.0,Enacted,"SEC. 227. MODIFICATION OF THE JOINT COMMON FOUNDATION PROGRAM. (a) Modification of Joint Common Foundation.--The Secretary of Defense shall modify the Joint Common Foundation program conducted by the Joint Artificial Intelligence Center to ensure that Department of Defense components can more easily contract with leading commercial artificial intelligence companies to support the rapid and efficient development and deployment of applications and capabilities. (b) Qualifying Commercial Companies.--The Secretary of Defense shall take such actions as may be necessary to increase the number of commercial artificial intelligence companies eligible to provide support to Department of Defense components, including with respect to requirements for cybersecurity protections and processes, to achieve automatic authority to operate and provide continuous delivery, security clearances, data portability, and interoperability. (c) Use of FAR Part 12.--The Secretary of Defense shall ensure that, to the maximum extent practicable, commercial artificial intelligence companies are able to offer platforms, services, applications, and tools to Department of Defense components through processes and procedures under part 12 of the Federal Acquisition Regulation.(d) Objectives of the Joint Common Foundation Program.--The objectives of the Joint Common Foundation program shall include the following: (1) Relieving Department of Defense components of the need to design or develop or independently cont",https://www.congress.gov/bill/117th-congress/senate-bill/1605/text,en,"Risk factors: Security, Risk factors: Security: Cybersecurity, Strategies: Government support, Strategies: Convening, Applications: Government: other applications/unspecified"
4,"National Defense Authorization Act for Fiscal Year 2022, Section 232 (""Pilot program on data repositories to facilitate the development of artificial intelligence capabilities for the Department of Defense"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2021-12-27,2021,12,positive,0.9851,low,0.0,206,1.0,Enacted,"SEC. 232. PILOT PROGRAM ON DATA REPOSITORIES TO FACILITATE THE DEVELOPMENT OF ARTIFICIAL INTELLIGENCE CAPABILITIES FOR THE DEPARTMENT OF DEFENSE. (a) Establishment of Data Repositories.-- The Secretary of Defense, acting through the Chief Data Officer of the Department of Defense and the Director of the Joint Artificial Intelligence Center (and such other officials as the Secretary determines appropriate), may carry out a pilot program under which the Secretary-- (1) establishes data repositories containing Department of Defense data sets relevant to the development of artificial intelligence software and technology; and (2) allows appropriate public and private sector organizations to access such data repositories for the purpose of developing improved artificial intelligence and machine learning software capabilities that may, as determined appropriate by the Secretary, be procured by the Department to satisfy Department requirements and technology development goals. (b) Elements.--If the Secretary of Defense carries out the pilot program under subsection (a), the data repositories established under the program-- (1) may include unclassified training quality data sets and associated labels representative of diverse types of information, representing Department of Defense missions, business processes, and activities; and (2) shall-- (A) be categorized and annotated to support development of a common evaluation framework for artificial intelligence models and other technical",https://www.congress.gov/bill/117th-congress/senate-bill/1605/text,en,"Strategies: Evaluation, Strategies: Government study or report, Strategies: Pilots and testbeds, Applications: Government: military and public safety"
5,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 212 (""Clarification of role of senior official with principal responsibility for artificial intelligence and machine learning"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2022-12-23,2022,12,positive,0.9822,low,0.0,222,1.0,Enacted,"SEC. 212. CLARIFICATION OF ROLE OF SENIOR OFFICIAL WITH PRINCIPAL RESPONSIBILITY FOR ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING. (a) Personnel Management Authority to Attract Experts in Science and Engineering.--Section 4092 of title 10, United States Code, is amended-- (1) in subsection (a)(6)-- (A) by striking Director of the Joint Artificial Intelligence Center'' and inserting official designated under section 238(b) of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Public Law 115-232)''; (B) by striking for the Center'' and inserting to support the activities of such official under section 238 of such Act''; and (C) in the paragraph heading, by striking ``Center''; (2) in subsection (b)(1)(F)-- (A) by striking Joint Artificial Intelligence Center'' and inserting office of the official designated under section 238(b) of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Public Law 115- 232)''; and (B) by striking in the Center'' and inserting in support of the activities of such official under section 238 of such Act''; and (3) in subsection (c)(2), by striking Joint Artificial Intelligence Center'' and inserting the activities under section 238 of the John S. McCain National Defense Authorization Act for Fiscal Year 2019 (Public Law 115-232)''. (b) Review of Artificial Intelligence Applications and Establishment of Performance Metrics.--Section 226(b) of the National Defense Authorization Act for Fiscal Year 2022 (Pu",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,en,"Strategies: Evaluation, Strategies: Government support: AI workforce-related, Strategies: Pilots and testbeds, Applications: Security, Applications: Government: military and public safety"
6,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 1513 (""Establishing projects for data management, artificial intelligence, and digital solutions"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2022-12-23,2022,12,positive,0.9817,low,0.1111,205,1.0,Enacted,"SEC. 1513. ESTABLISHING PROJECTS FOR DATA MANAGEMENT, ARTIFICIAL INTELLIGENCE, AND DIGITAL SOLUTIONS. (a) Establishment of Priority Projects.--The Deputy Secretary of Defense shall-- (1) establish priority enterprise projects for data management, artificial intelligence, and digital solutions for both business efficiency and warfighting capabilities intended to accelerate decision advantage; and (2) assign responsibilities for execution and funding of the projects established under paragraph (1). (b) Actions Required.--To ensure implementation of the priority projects of the Deputy Secretary of Defense under subsection (a), and to instill data science and technology as a core discipline in the Department of Defense, the Deputy Secretary shall-- (1) hold the heads of components accountable for-- (A) making their component's data available for use pursuant to the memorandum of the Deputy Secretary of Defense dated May 5, 2021, and titled ``Creating Data Advantage'', in accordance with plans developed and approved by the head of the component and the Deputy Secretary; (B) developing, implementing, and reporting measurable actions to acquire, preserve, and grow the population of government and contractor personnel with expertise in data management, artificial intelligence, and digital solutions; (C) making their components use data management practices, analytics processes, enterprise cloud computing environments, and operational test environments that are made available and spec",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,en,"Risk factors: Security, Risk factors: Security: Cybersecurity, Strategies: Evaluation, Strategies: Evaluation: Adversarial testing, Strategies: Government study or report, Strategies: Government support, Strategies: Government support: AI workforce-related, Applications: Business services and analytics, Applications: Government: military and public safety"
7,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 1554 (""Roadmap and implementation plan for cyber adoption of artificial intelligence"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2022-12-23,2022,12,positive,0.9864,low,0.0,202,1.0,Enacted,"SEC. 1554. ROADMAP AND IMPLEMENTATION PLAN FOR CYBER ADOPTION OF ARTIFICIAL INTELLIGENCE. (a) Roadmap and Implementation Plan Required.--Not later than 270 days after the date of the enactment of this Act, the Commander of the United States Cyber Command and the Chief Information Officer of the Department of Defense, in coordination with the Chief Digital and Artificial Intelligence Officer of the Department, the Director of the Defense Advanced Research Projects Agency, the Director of the National Security Agency, and the Under Secretary of Defense for Research and Engineering, shall jointly develop a five-year roadmap and implementation plan for rapidly adopting and acquiring artificial intelligence systems,applications, and supporting data and data management processes for the Cyberspace Operations Forces of the Department of Defense. (b) Elements.--The roadmap and implementation plan required by subsection (a) shall include the following: (1) Identification and prioritization of artificial intelligence systems, applications, data identification, and processing to cyber missions within the Department, and ameliorating threats to, and from, artificial intelligence systems, including-- (A) advancing the cybersecurity of Department systems with artificial intelligence; (B) uses of artificial intelligence for cyber effects operations; (C) assessing and mitigating vulnerabilities of artificial intelligence systems supporting cybersecurity and cyber operations to attacks; and (",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,en,"Strategies: Evaluation, Strategies: Government study or report, Strategies: Convening, Strategies: Governance development, Applications: Government: military and public safety"
8,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 6702 (""Additional responsibilities of Director of National Intelligence for artificial intelligence policies, standards, and guidance for the intelligence community"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2022-12-23,2022,12,positive,0.9947,low,0.1111,192,1.0,Enacted,"SEC. 6702. ADDITIONAL RESPONSIBILITIES OF DIRECTOR OF NATIONAL INTELLIGENCE FOR ARTIFICIAL INTELLIGENCE POLICIES, STANDARDS, AND GUIDANCE FOR THE INTELLIGENCE COMMUNITY. (a) Responsibilities of Director of National Intelligence.--The Director of National Intelligence, in consultation with the heads of the elements of the intelligence community or the officials designated under subsection (b), shall-- (1) establish, and periodically conduct reviews of, policies, standards, and procedures relating to the acquisition, adoption, development, use, coordination, and maintenance of artificial intelligence capabilities and associated data, frameworks, computing environments, and other enablers by the intelligence community (including by incorporating and updating such policies based on emerging technology capabilities), to accelerate and increase the adoption of artificial intelligence capabilities within the intelligence community; (2) ensure policies established or updated pursuant to paragraph (1) are consistent with-- (A) the principles outlined in the guidance of the Office of the Director of National Intelligence titled ``Principles of Artificial Intelligence Ethics for the Intelligence Community and its Artificial Intelligence Ethics Framework for the Intelligence Community'', or any successor guidance; and (B) any other principles developed by the Director relating to the governance, documentation, auditability, or evaluation of artificial intelligence systems or the accurate",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,en,"Risk factors: Reliability, Risk factors: Security, Strategies: Evaluation, Strategies: Government support, Strategies: Government support: For R&D, Strategies: New institution, Applications: Security, Applications: Government: military and public safety"
9,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 6717 (""Policy on required user adoption metrics in certain contracts for artificial intelligence and emerging technology software products"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2022-12-23,2022,12,positive,0.9939,low,0.0,237,1.0,Enacted,"SEC. 6717. POLICY ON REQUIRED USER ADOPTION METRICS IN CERTAIN CONTRACTS FOR ARTIFICIAL INTELLIGENCE AND EMERGING TECHNOLOGY SOFTWARE PRODUCTS. (a) Policy.--Not later than 180 days after the date of the enactment of this Act, the Director of National Intelligence shall establish a policy regarding user adoption metrics for contracts and other agreements for the procurement of covered products as follows: (1) With respect to a contract or other agreement entered into between the head of an element of the intelligence community and a commercial provider for the procurement of a covered product for users within the intelligence community, a requirement that each such contract or other agreement include, as a term of the contract or agreement, an understanding of the anticipated use of the covered product with a clear metric for success and for collecting user adoption metrics, as appropriate, for assessing the adoption of the covered product by such users. (2) Such exceptions to the requirements under paragraph (1) as may be determined appropriate pursuant to guidance established by the Director of National Intelligence. (3) A requirement that prior to the procurement of, or the continuation of the use of, any covered product procured by the head of an element of the intelligence community, the head has determined a method for assessing the success of the covered product from user adoption metrics. (b) Submission.--Not later than 60 days after the date on which the policy under",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,en,"Strategies: Evaluation, Strategies: Evaluation: Conformity assessment, Strategies: Government study or report, Strategies: Government support, Strategies: Governance development, Applications: Government: military and public safety"
10,"James M. Inhofe National Defense Authorization Act for Fiscal Year 2023, Section 6721 (""Reports on integration of artificial intelligence within intelligence community"")",United States Congress,United States,Federal government,NDAA provisions,Law/Act,2022-12-23,2022,12,positive,0.9918,low,0.0,221,1.0,Enacted,"SEC. 6721. REPORTS ON INTEGRATION OF ARTIFICIAL INTELLIGENCE WITHIN INTELLIGENCE COMMUNITY. (a) Reports by Elements of Intelligence Community.--Not later than 180 days after the date of the enactment of this Act, each senior official within an element of the intelligence community identified as a designated element lead pursuant to section 6702(b) shall submit to the congressional intelligence committees, the Subcommittee on Defense of the Committee on Appropriations of the Senate, and the Subcommittee on Defense of the Committee on Appropriations of the House of Representatives a report on the efforts of that element to develop, acquire, adopt, and maintain artificial intelligence to improve intelligence collection and analysis and optimize internal work flows. Each such report shall include the following: (1) A description of the authorities of the element relating to the use of artificial intelligence. (2) A list of any resource or authority necessary to accelerate the adoption by the element of artificial intelligence solutions, including commercial products, or personnel authorities. (3) A description of the element's roles, responsibilities, and authorities for accelerating the adoption by the element of artificial intelligence solutions. (4) The application of the policies and principles described in section 6702(a)(2) to paragraphs (1), (2), and (3). (b) Audits by Inspectors General.-- (1) Audits.--Not later than 2 years after the date of the enactment of this Act, ea",https://www.congress.gov/bill/117th-congress/house-bill/7776/text,en,"Strategies: Evaluation, Strategies: Evaluation: Conformity assessment, Strategies: Government study or report, Strategies: Government support, Strategies: Government support: For R&D, Strategies: Government support: AI workforce-related, Strategies: Governance development, Strategies: Performance requirements, Applications: Government: military and public safety"
